"time","USIP"
"21:19:51",2
"21:19:54",2
"21:19:57",3
"21:20:00",0
"21:20:03",3
"21:20:06",2
"21:20:09",1
"21:20:12",3
"21:20:15",1
"21:20:18",2
"21:20:21",3
"21:20:24",1
"21:20:27",1
"21:20:30",3
"21:20:33",3
"21:20:36",3
"21:20:39",2
"21:20:42",2
"21:20:45",2
"21:20:48",2
"21:20:51",2
"21:20:54",2
"21:20:57",3
"21:21:00",2
"21:21:03",2
"21:21:06",3
"21:21:09",3
"21:21:12",2
"21:21:15",0
"21:21:18",3
"21:21:21",2
"21:21:24",2
"21:21:27",3
"21:21:30",1
"21:21:33",1
"21:21:36",3
"21:21:39",2
"21:21:42",3
"21:21:45",2
"21:21:48",2
"21:21:51",2
"21:21:54",2
"21:21:57",1
"21:22:00",2
"21:22:03",3
"21:22:06",1
"21:22:09",3
"21:22:12",2
"21:22:15",2
"21:22:18",1
"21:22:21",2
"21:22:24",3
"21:22:27",3
"21:22:30",3
"21:22:33",2
"21:22:36",1
"21:22:39",3
"21:22:42",0
"21:22:45",2
"21:22:48",2
"21:22:51",2
"21:22:54",3
"21:22:57",2
"21:23:00",1
"21:23:03",2
"21:23:06",2
"21:23:09",2
"21:23:12",3
"21:23:15",2
"21:23:18",3
"21:23:21",3
"21:23:24",3
"21:23:27",2
"21:23:30",2
"21:23:33",3
"21:23:36",2
"21:23:39",2
"21:23:42",2
"21:23:45",1
"21:23:48",3
"21:23:51",2
"21:23:54",2
"21:23:57",3
"21:24:00",0
"21:24:03",0
