"time","USIP"
"21:11:51",1
"21:11:54",2
"21:11:57",1
"21:12:00",3
"21:12:03",2
"21:12:06",2
"21:12:09",2
"21:12:12",2
"21:12:15",2
"21:12:18",2
"21:12:21",1
"21:12:24",3
"21:12:27",2
"21:12:30",2
"21:12:33",2
"21:12:36",1
"21:12:39",3
"21:12:42",1
"21:12:45",2
"21:12:48",1
"21:12:51",3
"21:12:54",2
"21:12:57",2
"21:13:00",3
"21:13:03",1
"21:13:06",3
"21:13:09",2
"21:13:12",1
"21:13:15",3
"21:13:18",1
"21:13:21",3
"21:13:24",2
"21:13:27",1
"21:13:30",3
"21:13:33",2
"21:13:36",1
"21:13:39",3
"21:13:42",2
"21:13:45",1
"21:13:48",3
"21:13:51",2
"21:13:54",3
"21:13:57",3
"21:14:00",2
"21:14:03",2
"21:14:06",2
"21:14:09",2
"21:14:12",2
"21:14:15",3
"21:14:18",3
"21:14:21",2
"21:14:24",2
"21:14:27",3
"21:14:30",3
"21:14:33",2
"21:14:36",1
"21:14:39",2
"21:14:42",3
"21:14:45",1
"21:14:48",2
"21:14:51",3
"21:14:54",1
"21:14:57",2
"21:15:00",3
"21:15:03",1
"21:15:06",3
"21:15:09",2
"21:15:12",2
"21:15:15",3
"21:15:18",2
"21:15:21",2
"21:15:24",3
"21:15:27",1
"21:15:30",1
"21:15:33",2
"21:15:36",2
"21:15:39",3
"21:15:42",2
"21:15:45",3
"21:15:48",1
"21:15:51",2
"21:15:54",2
"21:15:57",2
"21:16:00",2
"21:16:03",2
"21:16:06",3
"21:16:09",2
"21:16:12",2
"21:16:15",3
"21:16:18",2
"21:16:21",1
"21:16:24",2
"21:16:27",2
"21:16:30",2
"21:16:33",3
"21:16:36",1
"21:16:39",3
"21:16:42",2
"21:16:45",2
"21:16:48",2
"21:16:51",2
"21:16:54",3
"21:16:57",2
"21:17:00",3
