"time","UPR"
"21:29:03",0
"21:29:06",1
"21:29:09",1
"21:29:12",1
"21:29:15",1
"21:29:18",1
"21:29:21",1
"21:29:24",1
"21:29:27",1
"21:29:30",1
"21:29:33",1
"21:29:36",1
"21:29:39",1
"21:29:42",1
"21:29:45",1
"21:29:48",1
"21:29:51",1
"21:29:54",1
"21:29:57",1
"21:30:00",1
"21:30:03",1
"21:30:06",1
"21:30:09",1
"21:30:12",1
"21:30:15",1
"21:30:18",1
"21:30:21",0
"21:30:24",1
"21:30:27",1
"21:30:30",1
"21:30:33",1
"21:30:36",1
"21:30:39",1
"21:30:42",1
"21:30:45",1
"21:30:48",1
"21:30:51",1
"21:30:54",1
"21:30:57",1
"21:31:00",1
"21:31:03",1
"21:31:06",1
"21:31:09",1
"21:31:12",1
"21:31:15",1
"21:31:18",1
"21:31:21",1
"21:31:24",1
"21:31:27",1
"21:31:30",1
"21:31:33",1
"21:31:36",1
"21:31:39",1
"21:31:42",1
"21:31:45",0
"21:31:48",1
"21:31:51",1
"21:31:54",1
"21:31:57",1
"21:32:00",1
"21:32:03",1
"21:32:06",1
"21:32:09",1
"21:32:12",1
"21:32:15",1
"21:32:18",1
"21:32:21",1
"21:32:24",1
"21:32:27",1
"21:32:30",1
"21:32:33",1
"21:32:36",1
"21:32:39",1
"21:32:42",1
"21:32:45",1
"21:32:48",1
"21:32:51",1
"21:32:54",1
"21:32:57",1
"21:33:00",0
"21:33:03",0
"21:33:06",0
"21:33:09",1
