"time","USIP"
"21:29:03",0
"21:29:06",2
"21:29:09",2
"21:29:12",2
"21:29:15",3
"21:29:18",2
"21:29:21",2
"21:29:24",2
"21:29:27",2
"21:29:30",2
"21:29:33",2
"21:29:36",3
"21:29:39",1
"21:29:42",3
"21:29:45",3
"21:29:48",3
"21:29:51",1
"21:29:54",1
"21:29:57",2
"21:30:00",3
"21:30:03",2
"21:30:06",3
"21:30:09",2
"21:30:12",1
"21:30:15",3
"21:30:18",3
"21:30:21",0
"21:30:24",2
"21:30:27",2
"21:30:30",2
"21:30:33",1
"21:30:36",3
"21:30:39",1
"21:30:42",1
"21:30:45",3
"21:30:48",1
"21:30:51",1
"21:30:54",2
"21:30:57",3
"21:31:00",2
"21:31:03",2
"21:31:06",2
"21:31:09",1
"21:31:12",3
"21:31:15",1
"21:31:18",2
"21:31:21",3
"21:31:24",3
"21:31:27",3
"21:31:30",1
"21:31:33",2
"21:31:36",1
"21:31:39",2
"21:31:42",3
"21:31:45",0
"21:31:48",2
"21:31:51",3
"21:31:54",2
"21:31:57",2
"21:32:00",2
"21:32:03",3
"21:32:06",2
"21:32:09",2
"21:32:12",2
"21:32:15",1
"21:32:18",3
"21:32:21",2
"21:32:24",1
"21:32:27",3
"21:32:30",2
"21:32:33",3
"21:32:36",2
"21:32:39",3
"21:32:42",1
"21:32:45",3
"21:32:48",1
"21:32:51",2
"21:32:54",6024
"21:32:57",2000
"21:33:00",0
"21:33:03",0
"21:33:06",0
"21:33:09",747
