"time","Packets"
"21:29:03",0
"21:29:06",10
"21:29:09",10
"21:29:12",20
"21:29:15",15
"21:29:18",10
"21:29:21",15
"21:29:24",10
"21:29:27",10
"21:29:30",10
"21:29:33",10
"21:29:36",15
"21:29:39",5
"21:29:42",15
"21:29:45",15
"21:29:48",20
"21:29:51",5
"21:29:54",10
"21:29:57",15
"21:30:00",15
"21:30:03",15
"21:30:06",15
"21:30:09",15
"21:30:12",5
"21:30:15",25
"21:30:18",15
"21:30:21",0
"21:30:24",20
"21:30:27",10
"21:30:30",10
"21:30:33",5
"21:30:36",15
"21:30:39",5
"21:30:42",5
"21:30:45",25
"21:30:48",10
"21:30:51",5
"21:30:54",25
"21:30:57",20
"21:31:00",10
"21:31:03",10
"21:31:06",15
"21:31:09",5
"21:31:12",20
"21:31:15",5
"21:31:18",10
"21:31:21",20
"21:31:24",20
"21:31:27",15
"21:31:30",5
"21:31:33",20
"21:31:36",5
"21:31:39",15
"21:31:42",15
"21:31:45",0
"21:31:48",10
"21:31:51",15
"21:31:54",15
"21:31:57",10
"21:32:00",10
"21:32:03",15
"21:32:06",10
"21:32:09",15
"21:32:12",10
"21:32:15",5
"21:32:18",15
"21:32:21",15
"21:32:24",5
"21:32:27",25
"21:32:30",10
"21:32:33",15
"21:32:36",10
"21:32:39",20
"21:32:42",5
"21:32:45",25
"21:32:48",5
"21:32:51",15
"21:32:54",6032
"21:32:57",2000
"21:33:00",0
"21:33:03",0
"21:33:06",0
"21:33:09",747
